id,appointment_id,user_id,therapist_id,rating,comment,created_at
1,1,1,1,4,Booking process was smooth,2026-05-20 11:20:00
2,2,2,1,5,Great pressure and friendly service,2026-05-20 12:45:00
3,3,3,1,5,Very relaxing session,2026-05-21 10:45:00
4,4,4,1,4,Helpful consultation before appointment,2026-05-21 14:20:00
5,5,5,1,5,Excellent aromatherapy experience,2026-05-22 16:40:00
6,6,6,1,3,Cancelled due to schedule conflict,2026-05-22 18:10:00
7,7,7,1,5,Perfect for muscle recovery,2026-05-23 11:45:00
8,8,8,1,4,Foot massage was comfortable,2026-05-23 15:15:00
9,9,9,1,5,Consistent quality as always,2026-05-24 10:50:00
10,10,1,10,5,Private room was clean and quiet,2026-05-24 17:40:00
